drugname;drugcount
Dexmedetomidine (Precedex);0.016349216667750115
D5NS;0.015747903529870638
Dilantin;0.01566664499772476
Omeprazole (Prilosec);0.01563414158486641
Dopamine;0.014935318208411883
OR Colloid Intake;0.014399011896249106
OR FFP Intake;0.01435025677696158
Na Phos;0.014236494831957356
Cath Lab Intake;0.014106481180523956
Lansoprazole (Prevacid);0.013342650978352726
Folic Acid;0.013131378794773451
Sodium Bicarbonate 8.4% (Amp);0.01267633101475655
Nicardipine;0.012318793473314698
Epinephrine;0.012123772996164597
Multivitamins;0.011766235454722745
Coumadin (Warfarin);0.011181174023272443
OR Platelet Intake;0.011116167197555744
Insulin - NPH;0.011051160371839043
Azithromycin;0.010856139894688942
Acyclovir;0.00997854774751349
Ampicillin/Sulbactam (Unasyn);0.009832282389650913
Fluconazole;0.009230969251771436
Enoxaparin (Lovenox);0.009165962426054736
Ampicillin;0.00892218682961711
Cisatracurium;0.007930832737437431
Gentamicin;0.007914581031008255
Diazepam (Valium);0.007849574205291556
Calcium Gluconate (CRRT);0.00783332249886238
Milrinone;0.007313267893128778
Octreotide;0.007313267893128778
Linezolid;0.007297016186699604
Clindamycin;0.006906975232399402
Dextrose 10%;0.006809464993824351
Citrate;0.0067932132873951764
KCl (CRRT);0.0067119547552493015
ACD-A Citrate (1000ml);0.006646947929532601
Bactrim (SMX/TMP);0.0065819411038159
PACU Crystalloid Intake;0.0065169342780992
Vecuronium;0.006110641617369824
Meperidine (Demerol);0.006013131378794774
Micafungin;0.006013131378794774
Nitroprusside;0.0056718455437820975
Ceftazidime;0.0051517909380484955
Furosemide (Lasix) 500/100;0.00510303581876097
Eptifibatide (Integrilin);0.00503802899304427
Cryoprecipitate;0.004956770460898394
Daptomycin;0.004956770460898394
Esmolol;0.004778001690177469
Nafcillin;0.004615484625885718
Vitamin K (Phytonadione);0.004387960735877267
Keppra;0.004079178313722941
Aztreonam;0.00391666124943119
Amiodarone 600/500;0.00385165442371449
Tobramycin;0.0037378924787102646
NaCl 3% (Hypertonic Saline);0.003624130533706039
Dobutamine;0.0034778651758434636
Carafate (Sucralfate);0.0034128583501267635
D5 1/4NS;0.003299096405122538
Mannitol;0.0032503412858350127
OR Cryoprecipitate Intake;0.0030228173958265618
D5LR;0.0028928037443931615
Fosphenytoin;0.002811545212247286
Lidocaine;0.0024702593772346097
Erythromycin;0.0024540076708054344
Voriconazole;0.0024540076708054344
Atropine;0.0021452252486511086
Insulin - 70/30;0.0019827081843593578
Methadone Hydrochloride;0.0019339530650718324
Argatroban;0.0016251706429175063
Naloxone (Narcan);0.0015926672300591563
Adenosine;0.0014951569914841058
IV Immune Globulin (IVIG);0.0014301501657674055
Ambisome;0.0013163882207631802
Ketamine;0.0013163882207631802
OR Autologous Blood Intake;0.0013163882207631802
Doxycycline;0.0012351296886173048
Caspofungin;0.0011538711564714295
Penicillin G potassium;0.0011538711564714295
PACU Packed RBC Intake;0.0011213677436130794
PACU Colloid Intake;0.0011051160371839043
Insulin - Humalog 75/25;0.0009913540921796789
Fondaparinux;0.0009751023857505038
Amikacin;0.0008450887343171033
Plasma Pheresis;0.0008288370278879282
Hetastarch (Hespan) 6%;0.000780081908600403
Rifampin;0.000763830202171228
Keflex;0.000763830202171228
Tamiflu;0.0006988233764545277
Gancyclovir;0.0006825716700253527
Alteplase (TPA);0.000520054605733602
Atovaquone;0.00047129948644607683
Factor VIIa;0.0004387960735877267
Colistin;0.0004062926607293766
Bivalirudin (Angiomax);0.0003900409543002015
Imipenem/Cilastatin;0.00037378924787102646
Valgancyclovir;0.00037378924787102646
Pentobarbital;0.00035753754144185137
Verapamil;0.0002925307157251511
Cell Saver;0.0002925307157251511
PACU PO Intake;0.000260027302866801
Isuprel;0.00024377559643762596
PACU FFP Intake;0.0002275238900084509
ACD-A Citrate (500ml);0.0002275238900084509
Hydrochloric Acid - HCL;0.0002275238900084509
Cyclosporine;0.00021127218357927584
Tirofiban (Aggrastat);0.00017876877072092569
Magnesium Sulfate (OB-GYN);0.00017876877072092569
Procainamide;0.00016251706429175062
Drotrecogin (Xigris);0.00014626535786257556
NaCl 23.4%;0.00014626535786257556
Dextran 40;0.00014626535786257556
Dextrose 20%;0.0001300136514334005
Factor VIII;0.0001300136514334005
PACU Platelet Intake;0.00011376194500422545
Lepirudin;0.00011376194500422545
Foscarnet;9.751023857505037e-05
Profilnine;8.125853214587531e-05
Nesiritide;8.125853214587531e-05
Isoniazid;8.125853214587531e-05
Abciximab (Reopro);6.500682571670025e-05
Ethambutol;6.500682571670025e-05
Moxifloxacin;6.500682571670025e-05
Pyrazinamide;4.875511928752519e-05
Aminophylline;4.875511928752519e-05
Dextrose 40%;3.2503412858350125e-05
Oxacillin;3.2503412858350125e-05
Dextrose 30%;1.6251706429175062e-05
Quinine;1.6251706429175062e-05
