abciximab;acyclovir;alteplase;amiodarone;amlodipine;amoxicillin;ampicillin;angiotensin II;argatroban;aspirin;atorvastatin;atracurium;azithromycin;bisacodyl;bivalirudin;bumetanide;captopril;carvedilol;cefazolin;cefepime;ceftazidime;ceftriaxone;ciprofloxacin;cisatracurium;clindamycin;clonazepam;clonidine;desmopressin;dexamethasone;dexmedetomidine;diltiazem;diphenhydramine;dobutamine;dopamine;enoximone;epinephrine;epoprostenol;eptifibatide;erythromycin;esmolol;felodipine;fentanyl;fluconazole;flumazenil;furosemide;gentamicin;glycopyrronium;haloperidol;heparin;hydrocodone;hydromorphone;hypromellose;ketamine;ketorolac;lansoprazole;lepirudin;levetiracetam;levofloxacin;lidocaine;linezolid;lorazepam;meropenem;methadone;methylprednisolone;metoclopramide;metronidazole;micafungin;midazolam;milrinone;mirtazapine;morphine;neostigmine;nesiritide;nicardipine;nimodipine;nitroglycerin;nitroprusside;norepinephrine;octreotide;pancuronium;pentobarbital;phenylephrine;phenytoin;piperacillin;procainamide;propofol;ranitidine;rocuronium;simvastatin;spironolactone;succinylcholine;sufentanil;sulfamethoxazole;thiopental;tirofiban;tramadol;tranexamic acid;treprostinil;triamterene;vancomycin;vasopressin (USP);vecuronium;warfarin;xylometazoline
;ACTIVIR;;;TELRODID;Amoxclav Sandoz;Teva-Ampicillin;;;Xindong;LIPIKHAN;;ASNAL;Laxothyrin;;;Epicordin;Carve Q;;;;KOREA UNITED CEFTRIAXONE;Cipro-1 A Pharma;;Xinyikang;;;;Rheumasit;;DILTIAZEM ARROW;Contac Day and Night Allergy Sinus;;;;Ev Tox;;;Ery-Tab;;Felodipin Tad;FENTANYL ARROW;FLUCONAZOLE BIOGARAN;;Furanthril;CMW;;;Hepathromb;Marcof Expectorant;;Ocutears;;;LANSTON;;Levetiracetam Fair Med;LEVOCLE;Lidotral;;;;;MEDILON;Dura Mcp;Elyzol;;;;;M Long;;;;;Glytrin;;;;;;Bromfed Reformulated Jun 2008;;;;;RUBIS;;SIMVASTATIN MYUNGMOON;Jenaspiron;;;Nu-Cotrimox-Ds;;;ATNOLCET;;;;;;;;Rhinova
;DYNEXAN;;;TREBLE;Amoxi 1a Pharma;;;;Lilikai;NEUSTATIN-A;;AZIRO;Laxans Al;;;Lopirin;Carvedilol 1a;;;;NELAXONE;Cipro-Denk;;Yijunding;;;;Rubizon;;Hebeishuang;Benadryl-D Fastmelt Allergy and Sinus;;;;Crc-Plex;;;Eryc;;Delmuno;FENTANYL BIOGARAN;FLUCONAZOLE CRISTERS;;Furesis;Cidomycin Paediatric;;;Kelofibrase;Tussionex;;Visine Dry Eye Eye Revival;;;LANPROL;;Levetiracetam Holsten;LEVOFURACIN;Kezepu;;;;;MPD;;Nydamax;;;;;M Stada;;;;;Percutol;;;;;;Nohist DMX;;;;;ALBID;;SIMVATEROL;Furorese;;;Trisulfa;;;CAMPEX;;;;;;;;Rapako Xylo
;VALACICLOVIR SANDOZ;;;TRIFLOW;Amoxi Basf;;;;Boji;NEWVAST;;AZITHRIN;Tempo-Lax Zaepfchen;;;Mtw Captopril;Carvedilol Awd;;;;NEWCEF;Ciprobay;;Zhuoli;;;;Sanamethason;;Taiweite;Atopalm Itch Relief;;;;Chemtox;;;Erycette;;Modip;FENTANYL JANSSEN;FLUCONAZOLE EG;;Furo Lut;Palacos R-20 with Gentamicin;;;Keptan;Maxi-Tuss HC;;Visine Dry Eye Tired Eye Relief;;;LANSTER;;Levetiracetam Hormosan;LEVOKACIN;Otigo;;;;;PD;;Acea;;;;;Morixon;;;;;Suscard;;;;;;Vazotab;;;;;ALBIS D;;TAIGUK SIMVASTATIN;Spironolacton Dura;;;Teva-Trimel;;;ACETRAM-SEMI;;;;;;;;Schnupfen Endrine
;Aciclovir Intravenous Pfizer;;;TRI IN ONE;Amoxi Clavulan Aurobindo;;;;Sinage;SANDOZ ATORVASTATIN;;AZITHRON;Tirgon;;;Phamopril;Carvedilol Ct;;;;SPOTRIN;Ciprofloxacin Aurus;;Beihe;;;;Saocin D;;Tianerxin;Anacin PM Aspirin Free;;;;Cv Tox;;;T-Stat;;Unimax;FENTANYL MYLAN;FLUCONAZOLE KABI;;Furo Ratiopharm;Lidaslon;;;Logomed Venen;Med-Hist Expectorant;;Visine Dry Eye True Tears;;;UNILANSO;;Levetiracetam Juta;LEVOLOXIN;Depo-Medrol + Lidocaine;;;;;MEDISOLU;;Zyomet;;;;;Morph;;;;;Minitran;;;;;;Despec Reformulated Jun 2008;;;;;AU F;;UNISIMVA;Spironolacton Stada;;;;;;ANTIPYRA SEMI;;;;;;;;Stas Nasenspray
;Acivir;;;TROIKA;Amoxi Clavulan Stada;;;;Keke;ILYANG ATORVASTATIN;;AZITRA;Solaxtabs;;;Sigacap;Carvedilol Dura;;;;ASTRIAXONE;Ciprofloxacin Axcount;;Telixian;;;;Supertendin;;Qianke;Banophen Cream;;;;Neuplex;;;EryPed;;Renedil;FENTANYL PANPHARMA;FLUCONAZOLE MACOPHARMA;;Furo Recip;Dexan;;;Liquemin;Medtuss HD;;Isopto Epinal Iit>;;;LANOZOLE;;Levetiracetam Pfizer;LEVOPA;Tyrothricine-Lidocaine;;;;;MEDLONE;;Fushuda;;;;;Morph Basf;;;;;Tridil;;;;;;Preparation H;;;;;AUSTIN RANITIDINE HCL;;VASTAE;Spironolacton - 1 A Pharma;;;;;;ATWO;;;;;;;;Siozwo
;Antiviral Cold Sore;;;TWINCID;Amoxi Diolan;;;;Xinkangsida;K-TORVA;;AZITRON;Stadalax;;;Sansanal;Carvedilol Kwizda;;;;CEFTISON;Ciprofloxacin Heumann;;Hengxin;;;;Terracortril;;Aikelang;Bayer Aspirin PM;;;;Immplex;;;Ilosone;;;FENTANYL RANBAXY;FLUCONAZOLE PANPHARMA;;Furomed Wolff;Betnoval;;;Ostochont;Genecof HC;;;;;LANSTON LFDT;;Levetiracetam Ratiopharm;LEXACIN;Syngel;;;;;MENISOLON;;Maifuxin;;;;;Msiw Krugmann;;;;;Nitro-Bid;;;;;;Maxiphen CDX;;;;;BC RANITIDINE HCL;;SIMVASTATINE ACTAVIS;Spironolacton Aristo;;;;;;AUSMADOL;;;;;;;;Snup
;Lovir;;;TWINSTEL;Amoxi Inen;;;;Xisiqi;LIPILOW;;AZMAC;Apo-Bisacodyl;;;Tensiomin;Carvedilol Pharma;;;;YOOYOUNG CEFTRIAXONE SODIUM;Ciprofloxacin Infomed;;Huayangzaixin;;;;Tannocortison;;Hexinshuang;Scot-Tussin Allergy;;;;Karticaine;;;Tiloryth brand of erythromycin;;;FENTANYL TEVA;FLUCONAZOLE PFIZER;;Furosal;Gentalol;;;Phlogase;Cordron HC;;;;;NEWLANSO;;Levetiracetam Wint;LFLOX;Golaseptine-Lidocaine;;;;;MEPHSOL;;Jialening;;;;;Morphin Abl;;;;;Nitrol;;;;;;Maxiphen CD;;;;;CELTIDIN;;SIMVASTATINE ALTER;Apo-Spirozide;;;;;;CORIDOL;;;;;;;;Vivirhin S
;Zolaten;;;TWOTWO STAR;Amoxi Lich;;;;Picot Plus;LIPISANTE;;BIAZIT;Bicholate Lilas;;;Tensobon;Carvedilol Ratiopharm;;;;CEFTRIAXONE ACTAVIS;Ciprofloxacin Lyomark;;Lipai;;;;Totocortin;;Beiluoxin;Sleep-Eze;;;;Posicaine Sp;;;Erythroped PI SF;;;FENTANYL ZENTIVA;FLUCONAZOLE RANBAXY;;Hydrotrix;Riftamycin;;;Peutadyn H;Nasatuss;;;;;WUILANTON;;Levip;LOXAVIT;Medica;;;;;MEPILONE;;Shuruite;;;;;Morphin Al;;;;;Transderm Nitro;;;;;;Zotex PE;;;;;GASPORIN;;SIMVASTATINE ARROW;;;;;;;DOLACET SEMI;;;;;;;;Flo Xylo-Pos
;Alinivir;;;TWOVIKAR;Amoxi Lut;;;;Sedergine;LIPISTOP;;HANMAX;Becolax;;;CAPTEA;Dimetil;;;;CEFTRIAXONE ALMUS;Ciprofloxacin Real;;Tianquanweikang;;;;Ultra Demoplas A;;Viazem XL;Sleeptabs;;;;Ultracaine Ds Forte;;;Stiemycin;;;Denpax;FLUCONAZOLE RATIOPHARM;;Spiro F;Ruibeike;;;Perivar;P-V-Tussin;;;;;LANSOPRAZOLE ARROW;;TINACETAM;OCULEVO;Anginol Lidocaine;;;;;MESOLONE;;Maisite;;;;;Mstw Abl;;;;;Nitroglyn E-R;;;;;;Ry-Tann;;;;;GASTIDINE;;SIMVASTATINE BOUCHARA RECORDATI;;;;;;;DUALCET SEMI;;;;;;;;Dr. Henk Balkis Schnupfenspray
;Acic-Ophtal;;;TWOWINFORGE;Amoxi Saar;;;;Cardioaspirine;LIPIWON;;IKSU AZITHRO;Extra Strong Formula 12 Herb Lax;;;CAPTOPRIL TEVA;Sigadilol;;;;CEFTRIAXONE BIOGARAN;Ciprofloxacin Stada;;Shexin;;;;Ultra Demoplas N;;Angitil XL;Sominex Pain Relief;;;;Vactox;;;Del-Mycin;;;Fenpatch;FLUCONAZOLE SANDOZ;;Spiro Furosemid;Xinta;;;Proveno;Panacet;;;;;LANSOPRAZOLE EG;;EPILATAM;LECTACIN;LTA;;;;;METHYLON;;ritate;;;;;Morphin Hcl;;;;;GTN;;;;;;Vanacof;;;;;GAZETE;;SIMVASTATINE GERDA;;;;;;;EUROCET SEMI;;;;;;;;Dr.Theiss Nasenspray
;Aciclobeta;;;TWOWINFORGY;Amoxi Sandoz;;;;Trinomia;LIVATIN;;ROSZIA;Feen-A;;;CAPTOPRIL ZYDUS;ALVOGEN CARVEDILOL;;;;CEFTRIAXONE CRISTERS;Ciprofloxacin-Hormosan;;Sheyue;;;;EYETODEX;;Adizem-XL;Diphenhist with Zinc;;;;Systox;;;Erythra-Derm;;;Fentanyl Pfizer;FLUCONAZOLE ZENTIVA;;Spironolacton Komb;Jielitai;;;Reso Nit;Pancof XP;;;;;LANSOPRAZOLE KRKA;;Q-PAM;LEVO F;Regenecare;;;;;PREDISOL;;Vitazol;;;;;Morphin Puren;;;;;Nitrotab;;;;;;Afrin Nasal;;;;;HUTECS RANITIDINE;;SIMVASTATINE ISOMED;;;;;;;HISET;;;;;;;;Gib Nasenspray
;Aciclostad;;;UNASCA;Amoxi Wolff;;;;Afebryl;NOTOVA;;ROZIA;Magic Bullet Laxative;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE ACTAVIS;BINEX CARVEDILOL;;;;CEFTRIAXONE GERDA;Cipromedica;;Jingeduona;;;;YUHAN DEXAMETHASONE;;Angitil SR;EX-Pain Sleep;;;;Primatene Reformulated Jan 2019;;;Erythrocot;;;Fentanyl Q-Pharm;FLUCONAZOLE ZYDUS;;FURIX;Guanxinke;;;Sportupac;Panlor;;;;;LANSOPRAZOLE LICONSA;;LEVETIRACETAM ACTAVIS;LEVOBACTER;LMX;;;;;PROND;;Rosadan;;;;;Morphin Ratiopharm;;;;;Nitrek;;;;;;Allerx Suspension;;;;;A BIS;;SIMVASTATINE PFIZER;;;;;;;HUTRADOL SEMI;;;;;;;;Olynth
;Aciclovir Aristo;;;UNIROPIN;Amoxibioci;;;;BC Headache;ROVELITO;;ZENTAS;Jamp-Bisacodyl;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE ARROW;CAVEDIA;;;;CEFTRIAXONE KABI;Panotile Cipro;;Jianqi;;;;DEXASIN;;Progor;Leg Ease;;;;CAMBRICAINA;;;Staticin;;;Fentanyl Stada;OROFLUCO;;ALDALIX;Duracoll;;;Thrombareduct Sandoz;Poly-Tussin;;;;;LANSOPRAZOLE PHR LAB;;LEVETIRACETAM ALTER;LEVOCID;Lidazone;;;;;SOLENILONE;;Metrozol;;;;;Morphinsulfat Ct;;;;;Nitrocot;;;;;;Amitex LA;;;;;ABIX;;SIMVASTATINE PHR LAB;;;;;;;K-MADOL;;;;;;;;Nasengel Al
;Aciclovir Hikma;;;VIKARONCE;Amoxibiocin;;;;Ecpirin;ATORSTAN;;ZIDMAX;Royvac Bowel Evacuant Kit;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN;KYONGBO CARVEDILOL;;;;CEFTRIAXONE PANPHARMA;Auro-Ciprofloxacin;;Aodi;;;;HUMEDIX DEXAMETHASONE SODIUM PHOSPHATE;;Corazet Diltiazem;Correct Dose Childrens Allergy Relief;;;;Medihaler-Epi;;;Eyemycin;;;Fentanyl-Hameln;Afeme Duo;;FUROSEMIDE BIOGARAN;Dexagenta-POS;;;Thrombimed;Poly Tussin XP;;;;;LANSOPRAZOLE QUALIMED;;LEVETIRACETAM CRISTERS;LEVOFACIN;Lidoject;;;;;SOLOGEN;;Fossyol;;;;;Mogetic;;;;;Nitrogard;;;;;;Coldex;;;;;ALBISINE;;SIMVASTATINE QUALIMED;;;;;;;MADOPHEN SEMI;;;;;;;;Nasenspray Accedo
;Aciclovir Hospira;;;Lotrel;Amagesan;;;;Alka-Seltzer Plus Night Cold;ATORVIN;;ZIROTHMIN;Ratio-Bisacodyl;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE PHARMAKI GENERICS;ALPHADILOL;;;;CEFTRIAXONE RPG;Dom-Ciprofloxacin;;Rongda;;;;DONGKWANG DEXTASONE;;Diltiamerck;Robitussin Peak Cold Nighttime Multi-Symptom Cold;;;;Septocaine;;;Romycin;;;Fentapon;Canesoral;;FUROSEMIDE EVOLUGEN;Gentamicin Paediatric;;;Thrombocut;Polygesic;;;;;LANSOPRAZOLE RATIOPHARM;;LEVETIRACETAM EG;LEVOFROXIN;Rectacreme;;;;;MESOLOME;;Lindoplus;;;;;Onkomorphin;;;;;Nitromin brand of nitroglycerin;;;;;;Coldtuss DR;;;;;ALFENS;;SIMVASTATINE RANBAXY;;;;;;;MEGASPEN;;;;;;;;Nasenspray Al
;Aciclovir Ksk;;;Norvasc;Augmentine;;;;Stanback Headache Powder Reformulated Jan 2011;ATOSPO;;ZITHROCIN;Pms-Bisacodyl;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE RATIOPHARM;CARNONE;;;;CEFTRIAXONE SANDOZ;Mar-Ciprofloxacin;;Libangte;;;;ERIZAS;;Diltiazem Al;Kids-Eeze Allergy;;;;Xylocaine with Epinephrine;;;Theramycin;;;Fentadolon;Dizole;;FUROSEMIDE RENAUDIN;LoZatom;;;Thrombotison;Prolex DH;;;;;LANSOPRAZOLE SANDOZ;;LEVETIRACETAM HOSPIRA;LITE LEVO;LidoWorx;;;;;METHY;;Metronidaz;;;;;Oramorph Lt;;;;;Sustachron ER;;;;;;De-Chlor DR;;;;;ALMISO;;SIMVASTATINE RATIOPHARM;;;;;;;NEUTRACET SEMI;;;;;;;;Nasenspray Heumann
;Virzin;;;Caduet;Cuxacillin;;;;Pamprin Max Formula;ATOTEROL;;AzaSite;Silver Bullet;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE TEVA;CARVELOL;;;;CEFTRIAXONE TEVA;Priva-Ciprofloxacin;;Treclinax;;;;JEIL DEXAMETHASONE;;Diltiazem Gry;Dermamycin;;;;Epifrin;;;Emcin Clear;;;Fentamedica Matrix;Difluzole;;FUROSEMIDE SANDOZ;Legacy;;;Trauma Actavis;Propatuss Expectorant;;;;;LANSOPRAZOLE ZENTIVA;;LEVETIRACETAM RANBAXY;REVOPRAN;ProCoMycin;;;;;METHYSON;;Metronidazol 1a Pharma;;;;;Sevredol Dx;;;;;Suscard Buccal;;;;;;Rynatan;;;;;ALNIZ;;SIMVASTATINE RPG;;;;;;;NOTONGPHEN PLUS MINI;;;;;;;;Nasenspray Luenpharma
;Bio-Valacyclovir;;;Exforge;Dignoamoxicillin;;;;Bayer Aspirin PM;ATROVAN;;Zmax;;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE ZENTIVA;CARVETA;;;;TRIACEFAN;Q-Ciprofloxacin;;Clintabs;;;;SINIL DEXAMETHASONE;;Diltiazem Isis;Alka-Seltzer Plus Allergy;;;;Ana-Guard;;;Erythrolar;;;Fentanyl Abz;Fluzole;;FUROSEMIDE TEVA;Cidomycin;;;Traumalitan;Protuss D;;;;;LANSOPRAZOLE ZYDUS;;Kerron;ELEVO;Soulus;;;;;PDILONE;;Metronidazol Al;;;;;Sevredol Hp;;;;;Trintek;;;;;;Tannate V DM;;;;;ALTIDI 75;;SIMVASTATINE TEVA;;;;;;;OLFEN SEMI;;;;;;;;Nasentropfen Xylo
;Nu-Acyclovir;;;Azor;Emtemox;;;;Rid-A-Pain;BC ATORVASTATIN;;ZPAK;;;;LOPRIL;CARVEE;;;;Cefotrix;Ran-Ciproflox;;PledgaClin;;;;DEXAMETA;;Diltiazem M;Bayer Aspirin PM Reformulated Nov 2011;;;;Asthmahaler;;;Erythrocin;;;Fentanyl Aristo;Femrelief One;;FUROSEMIDE ZENTIVA;Genticin;;;Venocux;Tussinate;;;;;OGAST;;Kevtam;WHANIN LEVOFLOXACIN;Hexa-Caine;;;;;PREVANTAN;;Metronidazol Demo;;;;;Sevredol M;;;;;Vasolator;;;;;;Ear-gesic;;;;;ALTOBIS;;Lipex;;;;;;;TAMIDOL SEMI;;;;;;;;Nasic
;Van-Valacyclovir;;;Amlostin;Flui Amoxicillin;;;;Bayer Aspirin PM Reformulated Nov 2011;DAEWOONGBIO ATORVASTATIN;;Azinthromycin;;;;Acenorm;CARVENAL;;;;Ceftriaxon Devatis;Ran-Ciprofloxacin;;Aclinda;;;;YUHAN DEXAMETHASONE DISODIUM PHOSPHATE;;Diltiazem Siga;Rx-Act Ibuprofen PM;;;;Citanest Forte;;;Ery;;;Fentanyl B.Braun;Femzole;;Diaphal;Cidomycin Intrathecal;;;Venoflexil;Q-V Tussin;;;;;OGASTORO;;Levitam;WONFLOXINE;Ralvo;;;;;ADICORT;;Metronidazol Frese;;;;;Sevredol Up;;;;;Millisrol;;;;;;Duratuss GP Reformulated Sep 2008;;;;;BISRAN;;Ransim;;;;;;;TARACET;;;;;;;;Xylo Apogen
;Sitavig;;;Sevikar;Flanamox;;;;Alka;DUOSC;;Clamelle;;;;Captohexal;CARVETREN;;;;Ceftriaxon Eberth;Pms-Ciprofloxacin;;Basocin;;;;TOBAREN;;Diltiazem Verla;Panadol Night;;;;Bronkaid Mist;;;Kerymax;;;Fentanyl Esparma;Flufeme;;Diurapid;Gentisone HC;;;Venoplant Topisch;Rindal-HD;;;;;Lanzopran;;Levactam;LECROCIN;Nulbia;;;;;BEARSOLONE;;Metronidazol Heumann;;;;;STOMOL;;;;;Minitro;;;;;;Theraflu Cold & Sore Throat Reformulated Sep 2008;;;;;CROWN RANITIDINE HCL;;Simvacor;;;;;;;THERAPEN SEMI;;;;;;;;Xylo-I-Med
;ACY-M;;;Micamlo;Glassatan;;;;Mandaprin;HUSTAR;;Azyter;;;;Topace;DILADOL;;;;Ceftriaxon Hexal;Van-Ciprofloxacin;;Clin Sanorania;;;;TOBESON;;Diltiuc;CalCold;;;;Glaucon;;;Tiloryth;;;Fentanyl Hennig;Vagiclear;;Furobeta;Betagentam;;;Venalitan;Rolatuss with Hydrocodone;;;;;Lanso Tad;;Levecetam;LEFOXIN;Germoloids HC;;;;;KONISOLONE;;Metronidazol Saar;;;;;BC MORPHINSULFATE;;;;;Nitroderm;;;;;;GDP EX;;;;;CUDIN;;Simvahexal;;;;;;;TRACAN;;;;;;;;Xylometazolin Hcl Dr. Max
;A-VER;;;Zacras;Moxillin;;;;Atransipar;VATOR;;Zedbac;;;;Captopril Hct Sandoz;DIRANT;;;;Ceftriaxon Hikma;Septa-Ciprofloxacin;;Clinda 1a Pharma;;;;LIMETHASON;;Dilzanton;Antemesin;;;;E-Pilo-1;;;Oftalmolosa Cusi Eritromicina;;;Fentanyl Krewel;Flucoderm;;Furorese;Copal;;;Venelbin;Stagesic;;;;;Lansogamma;;Levetiracetam Abz;LESACIN;LMX 4;;;;;MECHIBON;;Metronimerck;;;;;DAEWON MORPHINE SULFATE HYDRATE;;;;;Myocor;;;;;;Hydron CP;;;;;CURAN;;Zimstat;;;;;;;TRACET SEMI;;;;;;;;Tussamag
;J-ACYCL;;;Ningliping;Paediamox;;;;Anadin Extra;TORVIS;;Xishumei;;;;Captopril Pb;NEWCARVELO;;;;Ceftriaxon Hospira;Arflox;;Clinda Ar;;;;OKLEX;;Dilzicardin;Asthma Longor;;;;Eppy/N;;;Eryacne;;;Fnetanyl-Hexal Sublingual;Fluconazol Abz;;Furosemid Abz;Corti Refobacin;;;Turgostad;Statuss Green;;;;;Lansoprazol Aaa;;Levetiracetam Axcount;LEVOA;Xylocaine with Adrenaline;;;;;MEDNIN;;Metronour;;;;;HANLIM MORPHIN SULFATE;;;;;Nitropen;;;;;;Sonahist;;;;;DOUBLE ONE;;Juvisync;;;;;;;TRAMAROL;;;;;;;;Balminil
;ACLOBI;;;Anneizhen;Phamoxi;;;;Danamep;TOVAST;;Lizhuqile;;;;Captopril-Hct Acis;CARDILOL;;;;Ceftriaxon Mylan;Ciprofloxacine AB;;Clinda Ipp;;;;Cresophene;;Dil Sanorania;Atma Sanol;;;;P1E1;;;Isotrexin;;;Ran-Fentanyl;Fungata;;Furosemid Acis;Dexa Gentamicin;;;Tubahaem;Dynatuss DF;;;;;Lansoprazol Abz;;Levetiracetam Desitin;LEVOCRA;Anaesthol;;;;;SPOLON;;Rathimed;;;;;MYUNGMOON MORPHINE HCL;;;;;Meditrans;;;;;;PediaCare Infant Decongestant & Cough Reformulated Oct 2008;;;;;EDIS;;Goltor;;;;;;;TRANOPHEN SEMI;;;;;;;;Cold & Allergy Relief
;ACLOVA;;;Yasikeping;Uro Clamoxyl;;;;Acetylsalicylsaeure Injeele;INIST ATORVASTATIN;;Sushuang;;;;Captowieb;CARVELA;;;;Ceftriaxon Stragen;CT-CIN;;Clinda Wolff;;;;AURICULARUM;;Dilsal;Arbid;;;;P6E1;;;Lijunsha;;;Pat-Fentanyl Mat;Fluconazol Acis;;Furosemid Al;Duragentamicin;;;Zuk Hepa;Canges HC;;;;;Lansoprazol Aurobindo;;Levetiracetam Double-E Pharma;LEVOFEXIN;Arthrisinal;;;;;METHYLPREDNISOLONE MYLAN;;Sanatrichom;;;;;MORPHINE HCL;;;;;Ruobixun;;;;;;Vanex Forte-D;;;;;GATIS;;Simvabeta;;;;;;;TRAPHEN;;;;;;;;Otrivin Allergy And Cold Decongestant
;ACYRAX;;;Luohuoxi;ABACTAM;;;;Anti Opt;LIPINON;;Lujiakang;;;;Capto Comp Ksk;CARVENIL;;;;Ceftriaxon-Ratiopharm;ALCON KOREA CIPROBAY;;Clindabeta;;;;ALDYZINE;;Dilti Basf;Betadorm;;;;Lidosite;;;Dafaxin;;;Recuvyra;Fluconazol Al;;Furosemid Denk;Gencin;;;CHOONGWAE HEPARIN SODIUM;Uni-Tricof HC;;;;;Lansoprazol Hexal;;Levetiracetam Heumann;LEVOFLOXACIN DONGSUNG;Brachialin;;;;;Methylprednisolon Hikma;;Tricho Cordes;;;;;S-MORPHINE;;;;;Transiderm-Nitro;;;;;;XiraTuss;;;;;GI-EASY;;Simvadoc;;;;;;;TROCET;;;;;;;;Otrivin Menthol
;CITROVIR;;;Xiluoning;ACICLA;;;;Aneucod;LIPITEROL;;Yansha;;;;Capto-Ct;DUVELOL;;;;;CIFLOXIN;;Clindadura;;;;POLYDEXA;;CARDIAZEM;Benadryl N;;;;Lignostab-A;;;Xinhongkang;;;Ionsys;Fluconazol Aristo;;Spironolacton Dura;Gent Ophtal;;;HEPARIN NA HANLIM;KGS HC;;;;;Lansoprazol Ksk;;Levetiracetam Hikma;LEVOSTA;Bismolan;;;;;Metypred;;Trikozol;;;;;JEIL MORPHINE HCL;;;;;Angopect;;;;;;Guaifed PD Reformulated Nov 2008;;;;;LADITIN;;Simvaliquid Geriasan;;;;;;;ULTRACET ER SEMI;;;;;;;;Otrivin Pediatric
;ZODIAC;;;Shihuida;ACLA NEO;;;;Aspirin Forte;MYUNGMOON ATORVASTATIN;;Saiqi;;;;Captodoc;VASODILREN;;;;;CIFTEC;;Clindamycin 1a;;;;MAXIDROL;;HERBEN;Bronchovalun;;;;Mydricaine 1;;;Benzadermine;;;;Fluconazol Aurobindo;;Apo Furosemide;Genta Ct;;;CALCIPARINE SOUS CUTANEE;SymTan;;;;;Lansoprazol Pensa;;Levetiracetam Stada;LEVOTIN;Clinit;;;;;Metysolon;;Ulcolind;;;;;MORPHINE SULFATE DAEWON;;;;;Angiocardyl;;;;;;Aquatab C Reformulated Dec 2008;;;;;MARUTIN;;Simvami;;;;;;;ULTRA-MET;;;;;;;;Otrivin With M-D Pump
;Virovir;;;Amlodipine Krka;ACRAN;;;;Aspirin Up;OLPIT;;Pannuo;;;;Captopril Abz;CARVEDILOL BIOGARAN;;;;;CIPROC;;Clindamycin Al;;;;FRAKIDEX;;DILTELAN;Bronchistin;;;;Mydricaine 2;;;Erycine;;;;Fluconazol Axcount;;Ava-Furosemide;Gentamicin Aaa;;;CIRKAN;Tussin V;;;;;Lansoprazol Stada;;Levetiracetam Tad;SAMSUNG LEVOFLOXACIN;Cortigamma;;;;;Urbason;;METRONIDAZOLE CJ;;;;;Kapanol;;;;;Aquo Trinitrosan;;;;;;Aquatab D Reformulated Dec 2008;;;;;RABISCURE;;Simvastatin Aaa-Pharma;;;;;;;ULTRAPIN;;;;;;;;Ophtrivin A
;Soothelip Cold Sore;;;Lipertance;AMOCICLE;;;;Aspirine Ea;RADOVA;;Chuangcheng;;;;Captopril Acis;CARVEDILOL MYLAN;;;;;CIPROCIN HC;;Clindamycin Ct;;;;Dexmethsone;;DILTIAZEM HCL DAEWON;Cholo Teknosal;;;;Marcain;;;Erythroforte;;;;Fluconazol Claris;;Furoside;Gentamicin Br&;;;HEPARINE CHOAY;Tussive HC;;;;;Lansoprazol Teva;;Levetiracetam Ucb;LEVOFLOXACINE ACCORD HEALTHCARE;Dexa Attritin;;;;;Solumedrol;;TRIZELE;;;;;Momex Sr;;;;;Cardiacum Heel;;;;;;PediaCare Children's Allergy & Cold;;;;;RABITE-A;;Simvastatin Abz;;;;;;;UTOPAIN;;;;;;;;Xylometazolin
;Herpetad Cold Sore;;;Peramteva;AMOCLA DUO;;;;Aspirine Hp;RICHWOOD ATORVA;;Junweiqing;;;;Captopril Al;CARVEDILOL PFIZER;;;;;CIPROMIN;;Clindamycin Hameln;;;;Otodex;;CHLORHYDRATE DE DILTIAZEM MYLAN;Codyl;;;;Episnap;;;E.E.S.;;;;Fluconazol Denk;;Dom-Furosemide;Gentamicin Hexal;;;HEPARINE SODIQUE PANPHARMA;Uni Tuss HC;;;;;Dom-Lansoprazole;;Levetiracetam Winthrop;LEVOFLOXACINE ACTAVIS;Duo Norgesic;;;;;;;MEROGEL;;;;;Cyclimorph;;;;;Cefangipect;;;;;;Sudafed PE Children's Nasal Decongestant;;;;;RANIBIG;;Simvastatin Al;;;;;;;WITHUCET;;;;;;;;
;Zovirax Chickenpox;;;Copalia;AMOCTASIM DUO;;;;Aspirine P;RIPISTIN;;Yinuoda;;;;Apo-Capto;CARVEDILOL ZENTIVA;;;;;CIPRONIN;;Clindamycin Heumann;;;;Baycuten Hc;;MONO TILDIEM L;Dexa Bronchis;;;;Epilido;;;Maracyn;;;;Fluconazol Lyomark;;Nu-Furosemide;Gentamicin Ratiopharm;;;Fibraflex;Gentex HC;;;;;Hp-Pac;;Levetiracetam-Ct;LEVOFLOXACINE ARROW;Dolo Attritin;;;;;;;METRYNAL;;;;;Painbreak;;;;;Corangin;;;;;;Dimetapp Nighttime Cold & Congestion;;;;;RANIDINE;;Simvastatin Amneal;;;;;;;WONTRAN;;;;;;;;
